Date,Open,High,Low,Close,Adj Close,Volume
7/31/2009,3.66,3.73,3.65,3.66,3.66,14282400
8/3/2009,3.75,3.78,3.7,3.74,3.74,12875200
8/4/2009,3.75,3.85,3.68,3.76,3.76,20095900
8/5/2009,3.77,3.79,3.7,3.75,3.75,12174500
8/6/2009,3.75,3.79,3.66,3.71,3.71,11660200
8/7/2009,3.77,3.77,3.66,3.7,3.7,12259500
8/10/2009,3.71,3.71,3.65,3.68,3.68,10704400
8/11/2009,3.68,3.69,3.55,3.59,3.59,12670300
8/12/2009,3.6,3.63,3.56,3.59,3.59,13465300
8/13/2009,3.61,3.71,3.52,3.68,3.68,22048000
8/14/2009,3.66,3.76,3.59,3.69,3.69,23177600
8/17/2009,3.55,3.61,3.52,3.55,3.55,15706400
8/18/2009,3.55,3.58,3.49,3.56,3.56,23269700
8/19/2009,3.49,3.53,3.47,3.52,3.52,10937500
8/20/2009,3.53,3.55,3.49,3.52,3.52,6528900
8/21/2009,3.53,3.71,3.51,3.7,3.7,20133600
8/24/2009,3.93,4.1,3.88,4,4,49755000
8/25/2009,4.13,4.14,4.02,4.02,4.02,28065000
8/26/2009,4.03,4.08,4,4.06,4.06,20686200
8/27/2009,4.04,4.26,4,4.23,4.23,26139300
8/28/2009,4.45,4.55,4.3,4.47,4.47,41971900
8/31/2009,4.32,4.38,4.23,4.36,4.36,22133900
9/1/2009,4.36,4.57,4.18,4.22,4.22,32602600
9/2/2009,4.19,4.33,4.13,4.28,4.28,19010800
9/3/2009,4.39,4.56,4.35,4.53,4.53,33180600
9/4/2009,4.55,4.56,4.38,4.53,4.53,19622500
9/8/2009,4.6,5.24,4.57,5.19,5.19,73355000
9/9/2009,5.15,5.3,5,5.2,5.2,44410400
9/10/2009,5.29,5.45,5.2,5.38,5.38,39108400
9/11/2009,5.49,5.75,5.45,5.68,5.68,48505700
9/14/2009,5.62,5.78,5.51,5.72,5.72,27629100
9/15/2009,5.77,5.94,5.72,5.88,5.88,26757300
9/16/2009,5.85,5.87,5.57,5.69,5.69,43399700
9/17/2009,5.69,5.78,5.55,5.67,5.67,38169500
9/18/2009,5.74,5.75,5.43,5.7,5.7,34251800
9/21/2009,5.57,5.89,5.56,5.81,5.81,26292700
9/22/2009,5.91,6.3,5.84,6.08,6.08,39994300
9/23/2009,6.18,6.28,6,6.02,6.02,34479800
9/24/2009,6.06,6.09,5.57,5.66,5.66,36318200
9/25/2009,5.52,5.83,5.51,5.83,5.83,29820800
9/28/2009,5.87,6.06,5.79,5.94,5.94,20247100
9/29/2009,5.85,6.1,5.72,5.78,5.78,31086500
9/30/2009,5.8,5.85,5.59,5.66,5.66,37557200
10/1/2009,5.62,5.65,5.27,5.39,5.39,42759500
10/2/2009,5.22,5.45,5.05,5.31,5.31,31821800
10/5/2009,5.15,5.63,5.12,5.54,5.54,29232100
10/6/2009,5.67,5.78,5.53,5.64,5.64,21908400
10/7/2009,5.66,5.69,5.52,5.54,5.54,16911100
10/8/2009,5.58,5.67,5.46,5.51,5.51,20299300
10/9/2009,5.51,5.9,5.51,5.88,5.88,27325500
10/12/2009,6.13,6.29,6.08,6.14,6.14,38595800
10/13/2009,6.21,6.22,6.06,6.08,6.08,29647100
10/14/2009,6.31,6.36,6.16,6.25,6.25,32294400
10/15/2009,6.21,6.23,6.05,6.19,6.19,37778500
10/16/2009,5.89,5.94,5.65,5.74,5.74,62203100
10/19/2009,5.78,5.89,5.68,5.87,5.87,20547600
10/20/2009,5.94,6.18,5.92,5.98,5.98,35580300
10/21/2009,5.89,6.07,5.7,5.77,5.77,27058800
